model,steps,baseline,fad_score_laion,fad_score_encodec
musicTango,10,musiccaps,0.5978972181586093,136.70631298972845
musicTango,25,musiccaps,0.4103079061768195,73.00776441008855
musicTango,50,musiccaps,0.3784126475106243,63.42999102713124
musicTango,100,musiccaps,0.3530010710956795,58.88346184662815
musicTango,150,musiccaps,0.39215547831810005,99.77261367304018
musicTango,200,musiccaps,0.35307330736316855,53.445909415967336
musicTango,10,songdescriber,0.6791345771327995,174.8054552998881
musicTango,25,songdescriber,0.4706754707989404,110.52643801018095
musicTango,50,songdescriber,0.44177346988590827,89.80460440304856
musicTango,100,songdescriber,0.43820365529307237,84.84894659110348
musicTango,150,songdescriber,0.5014765291503486,138.0200288640551
musicTango,200,songdescriber,0.45192597272619606,80.25871598775458
