Model,Baseline,Steps,Avg_CE,Avg_CU,Avg_PC,Avg_PQ
AudioX,musiccaps,10,4.883318147659302,5.919144926865895,4.374563570022583,6.237773501873017
AudioX,musiccaps,25,5.9169178128242494,6.508782796859741,4.505435694058736,6.769889654318492
AudioX,musiccaps,50,5.977850898504257,6.621574983596802,4.620922674735387,6.8403103764851885
AudioX,musiccaps,100,6.0470977401733395,6.617442719936371,4.648611543973287,6.8414365657170615
AudioX,musiccaps,150,6.037499339580536,6.57992995818456,4.669700601498286,6.796249202092489
AudioX,musiccaps,200,6.017937637170156,6.571068212985993,4.628925740321478,6.828639636834462
AudioX,songdescriber,10,5.308010090192159,6.407678368091584,4.224111213684082,6.556357478300731
AudioX,songdescriber,25,6.146205088297526,6.778901250362396,4.397756900787353,6.878036557038625
AudioX,songdescriber,50,6.150298388004303,6.771538044611613,4.401152827342352,6.905519615014394
AudioX,songdescriber,100,6.179829359451929,6.805916336377462,4.452812275489172,6.8696227534612015
AudioX,songdescriber,150,6.174312993685405,6.8010794885953265,4.420260920127233,6.906551164786021
AudioX,songdescriber,200,6.173686061700185,6.842084503173828,4.393452409903208,6.897434939543406
