project_name,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed
10,3.275552803022195e-06,1.3802735834309159e-06,0.0,176.37986419883367,0.0006209408553886659,5.344165754777333e-06,4.555627666175821e-06,4.103443558675763e-08,9.904368081030345e-06
25,5.589949441980977e-07,5.996368339901537e-07,0.0,143.64050420323903,0.00022425748377531538,7.261046182946938e-07,1.3930342367707116e-06,4.668055378183406e-09,1.69024650668575e-06
50,5.938444354327703e-06,9.378111308163072e-07,0.0,128.58089825424562,0.00010029099563692468,9.43200873704543e-06,8.500478157005e-06,2.5970176930999677e-08,1.795621754584483e-05
100,3.298091496726891e-07,2.0979762182641184e-07,0.0,164.84983415048592,0.00010029099563692468,5.876798597816703e-07,1.124969167848169e-06,3.0836234013671207e-09,9.972518873225174e-07
150,1.7509120139286716e-06,1.359028662452973e-07,0.0,142.71619546701538,0.00010029099563692468,2.027700584423577e-06,3.4093898329248197e-06,1.688209339691245e-08,5.294274922839398e-06
200,1.5740323518546728e-06,2.0949556948554558e-07,0.0,83.42534976558242,0.00010029099563693733,2.4686239481978576e-06,2.887057773150805e-06,2.2422651690812288e-08,4.759439618780025e-06
