project_name,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed
10,8.163013889592458e-06,3.824077903092755e-06,0.0,445.56190224386404,0.00248848348661055,1.0753002717828746e-05,1.3833085882002132e-05,1.20477081560151e-07,2.4682702149850627e-05
25,1.8594430668071126e-06,4.99594439737065e-07,0.0,476.22819309356566,0.002463432137525741,1.0069651877972474e-06,4.853764490122179e-06,1.0013167647581873e-08,5.622442887316338e-06
50,2.0473408164771694e-06,1.3511537938030099e-07,0.0,512.4562569452063,0.0024634321375257037,1.4349077647712087e-06,4.798730213056908e-06,1.7489670821761882e-08,6.190593848762097e-06
100,3.689698514972588e-06,5.232901742794895e-08,0.0,0.0,0.002332709055789695,2.3139978370802355e-06,8.832425501750594e-06,3.115791377017369e-08,1.115663046761545e-05
150,8.284651695671248e-06,2.832730937854542e-07,0.0,481.8056805366275,0.0021214765867098636,7.270228757685853e-06,1.7819662925969158e-05,8.971536347646241e-08,2.5050501320327603e-05
200,7.828347168002493e-06,6.87339454441298e-08,0.0,351.4427131981726,0.0018265860388800336,5.0461797044308434e-06,1.862636707140025e-05,6.293287316536344e-08,2.3670762305040264e-05
