project_name,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed
10,6.304899581554146e-07,4.6132609641587633e-07,0.0,6.688149434867617,0.0,4.38829317971179e-07,1.813348213750797e-06,5.411972943527393e-07,1.9064277062494808e-06
25,1.4792571655127958e-06,1.9750183561551476e-07,0.0,7.468509936020986,0.0,2.0775994078921455e-07,4.18134243231646e-06,2.60694881199201e-07,4.472865600006291e-06
50,1.1602996146470044e-06,2.4926955912069457e-07,0.0,8.837603230206508,0.0,1.4841559488574567e-07,3.516950954978312e-06,1.0027150315790418e-07,3.5084259539746602e-06
100,1.8489039923675357e-06,1.7974528138812427e-07,0.043323817064058426,5.4974840661044535,0.0,2.9103450728513136e-08,5.530007719537262e-06,8.748190716636485e-08,5.590575633578991e-06
150,2.205837432398334e-06,1.7730528958119296e-07,0.0,9.063230787727125,0.0,2.272527203811196e-07,6.6621441935870165e-06,1.2952731669835752e-07,6.669843892392673e-06
200,1.1836662195827743e-06,1.6425481077014666e-07,0.0,7.837781351830122,0.0,3.5827811278435376e-07,3.5569999914046785e-06,2.9150150404932573e-07,3.5790801214324704e-06
