project_name,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed
10,2.1557569383144293e-06,4.4985034531315597e-07,0.0,6.943305570688212,0.0,6.452853389672237e-07,5.005149082205175e-06,8.755957672873253e-07,6.518414293490016e-06
25,3.5459670388689587e-07,2.7740660948137436e-07,0.0,9.04032301649619,0.0,2.655209330112582e-08,1.1687616540437117e-06,9.012489289686593e-08,1.0722026133731103e-06
50,8.986182391683457e-07,2.6528185351031803e-07,0.0,8.077791354358876,0.0,1.8822220865570834e-08,2.7220445971098956e-06,3.368491975666775e-08,2.7171736620692475e-06
100,1.0857901924932324e-06,2.1880404810719553e-07,0.0,9.050425390589233,0.0,4.784110545863324e-08,3.3639623081490612e-06,1.01171198865593e-07,3.2831300155666156e-06
150,1.0406013042434967e-06,1.4709452837508047e-07,0.0,8.897198436697284,0.0,5.18053933718772e-08,3.1532722068916844e-06,8.153614126153689e-08,3.146491283312794e-06
200,5.731410395267027e-07,2.2949805054938208e-07,0.0,8.259163099934543,0.0,1.552187641976071e-07,2.0918165154460775e-06,2.6281839857739174e-07,1.7330203965994501e-06
