Model,Baseline,Steps,Avg_CE,Avg_CU,Avg_PC,Avg_PQ
musicAudioLDM2,musiccaps,10,5.332620313167572,6.661034554640452,4.8925517574946085,6.767008703549703
musicAudioLDM2,musiccaps,25,5.663414347966512,6.797840388615926,5.104658314784368,6.83836529413859
musicAudioLDM2,musiccaps,50,5.6416101582845055,6.727526028951009,5.205517350037892,6.782871012687683
musicAudioLDM2,musiccaps,100,5.726984493732452,6.735869546731313,5.204747172196706,6.789616544246673
musicAudioLDM2,musiccaps,150,5.609258323510488,6.818877506256103,5.204423552751541,6.9680219729741415
musicAudioLDM2,musiccaps,200,5.694105618794759,6.748369012673696,5.298210030794143,6.809857428868612
musicAudioLDM2,songdescriber,10,6.24567833105723,7.101564613978068,4.984460079669953,7.175818381309509
musicAudioLDM2,songdescriber,25,6.577468030452728,7.296485862731934,5.132096942265829,7.317821040153503
musicAudioLDM2,songdescriber,50,6.5521254324913025,7.285771098136902,5.170194403330485,7.273980290095011
musicAudioLDM2,songdescriber,100,6.504127732117971,7.218322998682658,5.254012417793274,7.237792814572652
musicAudioLDM2,songdescriber,150,6.51623230934143,7.245461266040802,5.27466166416804,7.277263423601786
musicAudioLDM2,songdescriber,200,6.552771633466085,7.218368488947551,5.272988903522491,7.240280175209046
