project_name,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed
10,1.572408809151382e-05,1.1116627508521853e-06,0.0,152.56197843482286,0.0004011639825477335,2.436773680617387e-05,2.2852837132240563e-05,3.289469784208651e-07,4.754530473546705e-05
25,7.309306355768756e-07,3.311148671014974e-07,0.0,186.15121955777332,0.00020058199127387467,7.583457965020788e-07,1.8566149928646206e-06,9.700682359573721e-09,2.210132607119528e-06
50,1.0067862758229492e-06,3.3080477940544915e-07,0.0,135.8839049955838,0.00020058199127387467,1.3886219370410548e-06,2.6806731690704443e-06,1.4982752355639455e-08,3.044243965610368e-06
100,1.953945115885566e-06,1.6752204632620598e-07,0.0,131.77829931785584,0.00020058199127387467,3.203657755851434e-06,3.077845111848866e-06,4.430891096307744e-08,5.908191014383417e-06
150,1.950848165677261e-06,1.092358849536647e-07,0.0,60.59662538652274,0.00016377451007078072,1.2885257296440325e-06,4.69659586056327e-06,1.8285739779990334e-08,5.898826691173178e-06
200,5.723491717055803e-06,1.1720258958282522e-07,0.0,81.58360355872,0.00016377451007078072,8.014200858579043e-06,9.411480864074057e-06,1.1116705116706206e-07,1.7306260067591292e-05
