Model,Baseline,Steps,Avg_CE,Avg_CU,Avg_PC,Avg_PQ
MusicGenLarge,musiccaps,Large,6.692080415089925,7.484528086185455,4.830415411790212,7.41268874168396
MusicGenLarge,songdescriber,Large,7.053584558169047,7.68240703980128,5.0743807609876,7.5510974152882895
